timestamp,counter,Latitude,Longitude,Snow Depth m,geometry
2017-04-14 14:31:13.75,101021,69.12391,-148.9298517,0.865,POINT (423262.543999748 7669386.415090753)
2017-04-14 14:31:14.25,101022,69.12391,-148.9298117,0.7178,POINT (423264.1340867698 7669386.365030486)
2017-04-14 14:31:15,101023,69.12391,-148.9297766,0.6857,POINT (423265.5293881546 7669386.32110346)
2017-04-14 14:31:15.5,101024,69.12391,-148.929755,0.7328,POINT (423266.3880351709 7669386.294071841)
2017-04-14 14:31:16,101025,69.1239117,-148.9297417,0.7367,POINT (423266.9227041985 7669386.466907734)
2017-04-14 14:31:16.5,101026,69.1239167,-148.9297167,0.6202000000000001,POINT (423267.9340526626 7669386.992916475)
2017-04-14 14:31:17,101027,69.1239117,-148.9296817,0.6856,POINT (423269.3078346713 7669386.391822009)
2017-04-14 14:31:17.5,101028,69.1239117,-148.9296534,0.7001000000000001,POINT (423270.4328212318 7669386.356407389)
2017-04-14 14:31:18,101029,69.1239233,-148.9296866,0.7816,POINT (423269.1537507109 7669387.690877744)
2017-04-14 14:31:18.75,101030,69.1239233,-148.929645,0.7378,POINT (423270.8074403277 7669387.638819572)
2017-04-14 14:31:19.25,101031,69.1239167,-148.929625,0.6878,POINT (423271.5793263003 7669386.878162916)
2017-04-14 14:31:19.75,101032,69.1239183,-148.9295817,0.7111,POINT (423273.3062088676 7669387.002313434)
2017-04-14 14:31:20.25,101033,69.1239083,-148.9295583,0.537,POINT (423274.201324193 7669385.858442598)
2017-04-14 14:31:20.75,101034,69.1238967,-148.9295199,0.5874,POINT (423275.6871098708 7669384.517468118)
2017-04-14 14:31:21.25,101035,69.123885,-148.9295166,0.6063000000000001,POINT (423275.7772431981 7669383.209269004)
2017-04-14 14:31:21.75,101036,69.1238717,-148.92949,0.6351,POINT (423276.7879905949 7669381.693580404)
2017-04-14 14:31:22.25,101037,69.123865,-148.92949,0.5147999999999999,POINT (423276.7644842588 7669380.946805377)
2017-04-14 14:31:22.75,101038,69.123855,-148.9294517,0.4576,POINT (423278.2519125708 7669379.784291947)
